# Region type : patch outlet_tm_left
# Faces         : 8
# Area          : 5.70990699e-07
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
10              	2.28400387e-11
20              	2.18650559e-11
30              	2.19550893e-11
40              	2.19546085e-11
50              	2.19529219e-11
60              	2.19527003e-11
70              	2.19526393e-11
80              	2.19526275e-11
90              	2.19532605e-11
100             	2.19533583e-11
110             	2.19533765e-11
120             	2.19533793e-11
130             	2.19533797e-11
140             	2.19533798e-11
150             	2.19533798e-11
160             	2.19533798e-11
170             	2.19533797e-11
180             	2.19533798e-11
190             	2.19533798e-11
200             	2.19533798e-11
210             	2.19533798e-11
220             	2.19533798e-11
230             	2.19533798e-11
240             	2.19533798e-11
250             	2.19533797e-11
260             	2.19533797e-11
270             	2.19533798e-11
280             	2.19533798e-11
290             	2.19533798e-11
300             	2.19533798e-11
310             	2.19533798e-11
320             	2.19533798e-11
330             	2.19533798e-11
340             	2.19533798e-11
350             	2.19533798e-11
360             	2.19533798e-11
370             	2.19533798e-11
380             	2.19533798e-11
390             	2.19533798e-11
400             	2.19533798e-11
410             	2.19533797e-11
420             	2.19533797e-11
430             	2.19533797e-11
440             	2.19533797e-11
450             	2.19533797e-11
460             	2.19533797e-11
470             	2.19533797e-11
480             	2.19533797e-11
490             	2.19533797e-11
500             	2.19533797e-11
510             	2.19533797e-11
520             	2.19533797e-11
530             	2.19533797e-11
540             	2.19533797e-11
550             	2.19533797e-11
560             	2.19533797e-11
570             	2.19533797e-11
580             	2.19533797e-11
590             	2.19533797e-11
600             	2.19533797e-11
610             	2.19533797e-11
620             	2.19533797e-11
630             	2.19533797e-11
640             	2.19533797e-11
650             	2.19533797e-11
660             	2.19533797e-11
670             	2.19533797e-11
680             	2.19533797e-11
690             	2.19533797e-11
700             	2.19533797e-11
710             	2.19533797e-11
720             	2.19533797e-11
730             	2.19533797e-11
740             	2.19533797e-11
750             	2.19533797e-11
760             	2.19533797e-11
770             	2.19533797e-11
780             	2.19533797e-11
790             	2.19533797e-11
800             	2.19533797e-11
810             	2.19533797e-11
820             	2.19533797e-11
830             	2.19533797e-11
840             	2.19533797e-11
850             	2.19533797e-11
860             	2.19533797e-11
870             	2.19533797e-11
880             	2.19533797e-11
890             	2.19533797e-11
900             	2.19533797e-11
910             	2.19533797e-11
920             	2.19533797e-11
930             	2.19533797e-11
940             	2.19533797e-11
950             	2.19533797e-11
960             	2.19533797e-11
970             	2.19533797e-11
980             	2.19533797e-11
990             	2.19533797e-11
1000            	2.19533797e-11
1010            	2.19533797e-11
1020            	2.19533797e-11
1030            	2.19533797e-11
1040            	2.19533797e-11
1050            	2.19533797e-11
1060            	2.19533797e-11
1070            	2.19533796e-11
1080            	2.19533796e-11
1090            	2.19533796e-11
1100            	2.19533796e-11
1110            	2.19533796e-11
1120            	2.19533796e-11
1130            	2.19533796e-11
1140            	2.19533796e-11
1150            	2.19533796e-11
1160            	2.19533796e-11
1170            	2.19533796e-11
1180            	2.19533796e-11
1190            	2.19533796e-11
1200            	2.19533796e-11
1210            	2.19533796e-11
1220            	2.19533796e-11
1230            	2.19533796e-11
1240            	2.19533796e-11
1250            	2.19533796e-11
1260            	2.19533796e-11
1270            	2.19533796e-11
1280            	2.19533796e-11
1290            	2.19533796e-11
1300            	2.19533796e-11
1310            	2.19533796e-11
1320            	2.19533796e-11
1330            	2.19533796e-11
1340            	2.19533796e-11
1350            	2.19533796e-11
1360            	2.19533796e-11
1370            	2.19533796e-11
1380            	2.19533796e-11
1390            	2.19533796e-11
1400            	2.19533796e-11
1410            	2.19533796e-11
1420            	2.19533796e-11
1430            	2.19533796e-11
1440            	2.19533796e-11
1450            	2.19533796e-11
1460            	2.19533796e-11
1470            	2.19533796e-11
1480            	2.19533796e-11
1490            	2.19533796e-11
1500            	2.19533796e-11
1510            	2.19533796e-11
1520            	2.19533796e-11
1530            	2.19533796e-11
1540            	2.19533796e-11
1550            	2.19533796e-11
1560            	2.19533796e-11
1570            	2.19533796e-11
1580            	2.19533796e-11
1590            	2.19533796e-11
1600            	2.19533796e-11
1610            	2.19533796e-11
1620            	2.19533796e-11
1630            	2.19533796e-11
1640            	2.19533796e-11
1650            	2.19533796e-11
1660            	2.19533796e-11
1670            	2.19533796e-11
1680            	2.19533796e-11
1690            	2.19533796e-11
1700            	2.19533796e-11
1710            	2.19533796e-11
1720            	2.19533796e-11
1730            	2.19533796e-11
1740            	2.19533796e-11
1750            	2.19533796e-11
1760            	2.19533796e-11
1770            	2.19533796e-11
1780            	2.19533796e-11
1790            	2.19533795e-11
1800            	2.19533795e-11
1810            	2.19533795e-11
1820            	2.19533795e-11
1830            	2.19533795e-11
1840            	2.19533795e-11
1850            	2.19533795e-11
1860            	2.19533795e-11
1870            	2.19533795e-11
1880            	2.19533795e-11
1890            	2.19533795e-11
1900            	2.19533795e-11
1910            	2.19533795e-11
1920            	2.19533795e-11
1930            	2.19533795e-11
1940            	2.19533795e-11
1950            	2.19533795e-11
1960            	2.19533795e-11
1970            	2.19533795e-11
1980            	2.19533795e-11
1990            	2.19533795e-11
2000            	2.19533795e-11
